path	classification	bytes	notes
public/images/profile_photos/boy.jpg	image or upload	37349	Retained; may be referenced dynamically or from database records
public/images/profile_photos/girl.jpg	image or upload	17852	Retained; may be referenced dynamically or from database records
public/index.php	application or project source	1710	Retained; reviewed within source/configuration/reference audit
public/photos/photo/member-photo-20.jpeg	image or upload	34643	Retained; may be referenced dynamically or from database records
public/photos/photo/member-photo-20.webp	image or upload	26144	Retained; may be referenced dynamically or from database records
public/photos/photo/member-photo-27585.jpeg	image or upload	11340	Retained; may be referenced dynamically or from database records
public/robots.txt	application or project source	24	Retained; reviewed within source/configuration/reference audit
public/sw.js	application or project source	244	Retained; reviewed within source/configuration/reference audit
public/uploads/gallery/photo_1787743596_6a8ecd6ccb322.jpg	image or upload	67351	Retained; may be referenced dynamically or from database records
public/uploads/gallery/photo_1787814410_6a8fe20a0ead2.jpeg	image or upload	11340	Retained; may be referenced dynamically or from database records
public/uploads/gallery/photo_1787825379_6a900ce3763a3.jpeg	image or upload	28106	Retained; may be referenced dynamically or from database records
public/uploads/gallery/photo_1787825379_6a900ce3773fb.jpeg	image or upload	7185	Retained; may be referenced dynamically or from database records
public/uploads/gallery/photo_1788622230_6a9c3596c4a6b.png	image or upload	547	Retained; may be referenced dynamically or from database records
public/uploads/gallery/photo_1788622299_6a9c35dba1cc3.png	image or upload	547	Retained; may be referenced dynamically or from database records
public/uploads/success-stories/default-story.png	image or upload	1154425	Retained; may be referenced dynamically or from database records
public/uploads/success-stories/story_1785477068_6a6c37cc05b8a.jpeg	image or upload	95571	Retained; may be referenced dynamically or from database records
resources/css/home/about.css	application or project source	2997	Retained; reviewed within source/configuration/reference audit
resources/css/home/base.css	application or project source	20485	Retained; reviewed within source/configuration/reference audit
resources/css/home/blog.css	application or project source	6275	Retained; reviewed within source/configuration/reference audit
resources/css/home/call-to-action.css	application or project source	6370	Retained; reviewed within source/configuration/reference audit
resources/css/home/components.css	application or project source	10260	Retained; reviewed within source/configuration/reference audit
resources/css/home/dark-theme.css	application or project source	9808	Retained; reviewed within source/configuration/reference audit
resources/css/home/faqs.css	application or project source	4784	Retained; reviewed within source/configuration/reference audit
resources/css/home/footer.css	application or project source	7750	Retained; reviewed within source/configuration/reference audit
resources/css/home/header.css	application or project source	8315	Retained; reviewed within source/configuration/reference audit
resources/css/home/home.css	application or project source	434	Retained; reviewed within source/configuration/reference audit
resources/css/home/layout.css	application or project source	6220	Retained; reviewed within source/configuration/reference audit
resources/css/home/legal.css	application or project source	5471	Retained; reviewed within source/configuration/reference audit
resources/css/home/login.css	application or project source	14029	Retained; reviewed within source/configuration/reference audit
resources/css/home/public-cta.css	application or project source	3351	Retained; reviewed within source/configuration/reference audit
resources/css/home/public-pages.css	application or project source	6805	Retained; reviewed within source/configuration/reference audit
resources/css/home/search-form.css	application or project source	2887	Retained; reviewed within source/configuration/reference audit
resources/css/home/toast.css	application or project source	1288	Retained; reviewed within source/configuration/reference audit
resources/css/site-theme.css	application or project source	3363	Retained; reviewed within source/configuration/reference audit
resources/images/home/banner.png	static media	1796054	Retained asset; reference absence alone is not deletion evidence
resources/images/home/gallpakki-banner.png	static media	2113228	Retained asset; reference absence alone is not deletion evidence
resources/js/app.js	retained removal candidate	22	Unused alternative frontend entry points
resources/js/bootstrap.js	retained removal candidate	1235	Unused alternative frontend entry points
resources/js/home.js	application or project source	606	Retained; reviewed within source/configuration/reference audit
resources/js/home/animations.js	application or project source	924	Retained; reviewed within source/configuration/reference audit
resources/js/home/icons.js	application or project source	566	Retained; reviewed within source/configuration/reference audit
resources/js/home/navigation.js	application or project source	832	Retained; reviewed within source/configuration/reference audit
resources/js/public/landing.js	application or project source	6049	Retained; reviewed within source/configuration/reference audit
resources/js/public/login.js	application or project source	23723	Retained; reviewed within source/configuration/reference audit
